Elk River Supercenter,https://www.walmart.com/store/3209/elk-river-mn/details,18185 Zane St Nw,Elk River,MN,55330,US,763-441-3461,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.30054,-93.549071,,,,,
Bemidji Supercenter,https://www.walmart.com/store/3233/bemidji-mn/details,2025 Paul Bunyan Dr Nw,Bemidji,MN,56601,US,218-755-6120,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",47.4966,-94.908205,,,,,
Saint Paul Supercenter,https://www.walmart.com/store/3364/saint-paul-mn/details,1644 Robert St S,Saint Paul,MN,55118,US,651-453-0343,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",44.897067,-93.077455,,,,,
Roseville Supercenter,https://www.walmart.com/store/3404/roseville-mn/details,1960 Twin Lakes Parkway,Roseville,MN,55113,US,612-788-1303,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",45.021718,-93.183443,,,,,
Blaine Supercenter,https://www.walmart.com/store/3498/blaine-mn/details,4369 Ball Road Ne,Blaine,MN,55014,US,763-784-0147,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.1599696,-93.1597977,,,,,
Shakopee Supercenter,https://www.walmart.com/store/3513/shakopee-mn/details,8101 Old Carriage Ct,Shakopee,MN,55379,US,952-445-8013,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.77931,-93.417731,,,,,
Red Wing Supercenter,https://www.walmart.com/store/3534/red-wing-mn/details,295 Tyler Rd S,Red Wing,MN,55066,US,651-385-0003,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.563101,-92.581983,,,,,
Monticello Supercenter,https://www.walmart.com/store/3624/monticello-mn/details,9320 Cedar St,Monticello,MN,55362,US,763-295-9800,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.284181,-93.801838,,,,,
New Ulm Supercenter,https://www.walmart.com/store/3760/new-ulm-mn/details,1720 Westridge Rd,New Ulm,MN,56073,US,507-354-0900,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",44.328703,-94.505311,,,,,
Thief River Falls Supercenter,https://www.walmart.com/store/3761/thief-river-falls-mn/details,1755 Highway 59 S,Thief River Falls,MN,56701,US,218-683-3643,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",48.11233,-96.150001,,,,,
Crookston Supercenter,https://www.walmart.com/store/3758/crookston-mn/details,1930 Sahlstrom Dr,Crookston,MN,56716,US,218-281-2970,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",47.791576,-96.607311,,,,,
Fairmont Supercenter,https://www.walmart.com/store/3806/fairmont-mn/details,1250 Goemann Rd,Fairmont,MN,56031,US,507-235-2500,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",43.681934,-94.444776,,,,,
Park Rapids Supercenter,https://www.walmart.com/store/4244/park-rapids-mn/details,1303 Charles St,Park Rapids,MN,56470,US,218-732-0339,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.925379,-95.033631,,,,,
Wadena Supercenter,https://www.walmart.com/store/4246/wadena-mn/details,100 Juniper Ave,Wadena,MN,56482,US,218-631-1068,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.453235,-95.127366,,,,,
Sauk Centre Supercenter,https://www.walmart.com/store/4253/sauk-centre-mn/details,205 12th St S,Sauk Centre,MN,56378,US,320-352-7954,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.720665,-94.947005,,,,,
Austin Supercenter,https://www.walmart.com/store/4257/austin-mn/details,1000 18th Ave Nw,Austin,MN,55912,US,507-434-8159,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",43.6878184,-92.9872555,,,,,
Litchfield Supercenter,https://www.walmart.com/store/4374/litchfield-mn/details,2301 East Frontage Road,Litchfield,MN,55355,US,320-693-1022,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.1210736,-94.4907311,,,,,
Mountain Iron Supercenter,https://www.walmart.com/store/4849/mountain-iron-mn/details,8580 Rock Ridge Dr,Mountain Iron,MN,55768,US,218-305-3314,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",47.5229841,-92.5910689,,,,,
Inver Grove Heights Store,https://www.walmart.com/store/5089/inver-grove-heights-mn/details,9165 Cahill Ave,Inver Grove Heights,MN,55076,US,651-451-3975,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",44.816501,-93.04036,,,,,
Winona Supercenter,https://www.walmart.com/store/5397/winona-mn/details,955 Frontenac Dr,Winona,MN,55987,US,507-452-0102,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.032852,-91.617418,,,,,
Saint Paul Store,https://www.walmart.com/store/5437/saint-paul-mn/details,1450 University Ave W,Saint Paul,MN,55104,US,651-644-0020,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",44.954886,-93.161045,,,,,
Brooklyn Center Supercenter,https://www.walmart.com/store/5625/brooklyn-center-mn/details,1200 Shingle Creek Crossing,Brooklyn Center,MN,55430,US,763-354-1941,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",45.0563683,-93.3162617,,,,,
Blaine Supercenter,https://www.walmart.com/store/5976/blaine-mn/details,11505 Ulysses St Ne,Blaine,MN,55434,US,763-354-1979,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.1797455,-93.2390135,,,,,
Burnsville Supercenter,https://www.walmart.com/store/5977/burnsville-mn/details,12200 River Ridge Blvd,Burnsville,MN,55337,US,952-356-0018,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.781099,-93.286082,,,,,
Lakeville Supercenter,https://www.walmart.com/store/5992/lakeville-mn/details,20710 Keokuk Ave,Lakeville,MN,55044,US,612-354-5927,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.6504,-93.297113,,,,,
